title_id;title;type;release_year;age_certification;runtime;genres;production_countries;imdb_id;imdb_score;imdb_votes;seasons
ts300399;Five Came Back: The Reference Films;SHOW;1945;TV-MA;48;['documentation'];['US'];;;;10
tm84618;Taxi Driver;MOVIE;1976;R;113;['crime', 'drama'];['US'];tt0075314;83;7952220;0
tm127384;Monty Python and the Holy Grail;MOVIE;1975;PG;91;['comedy', 'fantasy'];['GB'];tt0071853;82;5308770;0
tm70993;Life of Brian;MOVIE;1979;R;94;['comedy'];['GB'];tt0079470;80;3924190;0
tm190788;The Exorcist;MOVIE;1973;R;133;['horror'];['US'];tt0070047;81;3919420;0
ts22164;Monty Python's Flying Circus;SHOW;1969;TV-14;30;['comedy', 'european'];['GB'];tt0063929;88;728950;40
tm14873;Dirty Harry;MOVIE;1971;R;102;['thriller', 'crime', 'action'];['US'];tt0066999;77;1534630;0
tm185072;My Fair Lady;MOVIE;1964;G;170;['drama', 'music', 'romance', 'family'];['US'];tt0058385;78;941210;0
tm98978;The Blue Lagoon;MOVIE;1980;R;104;['romance', 'drama'];['US'];tt0080453;58;690530;0
tm119281;Bonnie and Clyde;MOVIE;1967;R;110;['drama', 'crime', 'action'];['US'];tt0061418;77;1111890;0
tm67378;The Professionals;MOVIE;1966;PG-13;117;['western', 'action', 'european'];['US'];tt0060862;73;161680;0
tm44204;The Guns of Navarone;MOVIE;1961;Unknown;158;['war', 'action', 'drama'];['US', 'GB'];tt0054953;75;501500;0
tm69778;Lupin the Third: The Castle of Cagliostro;MOVIE;1979;PG;100;['comedy', 'animation', 'action', 'fantasy', 'family'];['JP'];tt0079833;76;302770;0
tm69997;Richard Pryor: Live in Concert;MOVIE;1979;R;78;['comedy', 'documentation'];['US'];tt0079807;81;51410;0
tm96649;The Long Riders;MOVIE;1980;R;99;['western', 'crime'];['US'];tt0081071;69;113290;0
tm16479;White Christmas;MOVIE;1954;Unknown;115;['romance', 'comedy', 'music'];['US'];tt0047673;75;423730;0
tm135083;Cairo Station;MOVIE;1958;Unknown;77;['drama', 'crime', 'comedy'];['EG'];tt0051390;75;43850;0
tm14491;The Queen;MOVIE;1968;Unknown;68;['documentation'];['US'];tt0183686;72;11170;0
tm89386;Hitler: A Career;MOVIE;1977;PG;150;['documentation', 'history', 'european'];['DE'];tt0191182;75;24160;0
tm156453;FTA;MOVIE;1972;R;97;['comedy', 'documentation', 'music'];['US'];tt0068562;62;4110;0
tm27298;Saladin the Victorious;MOVIE;1963;Unknown;186;['drama', 'war', 'action', 'history', 'romance'];['EG'];tt0057357;76;24700;0
tm356209;Singapore;MOVIE;1960;Unknown;158;['drama', 'thriller', 'crime'];['IN'];tt0268639;64;820;0
tm204541;Dark Waters;MOVIE;1956;Unknown;120;['drama', 'action', 'romance', 'thriller'];['EG'];tt0049761;67;5900;0
tm14350;Alexandria… Why?;MOVIE;1979;Unknown;133;['drama'];['EG'];tt0077751;72;16890;0
tm102287;Raya and Sakina;MOVIE;1953;Unknown;105;['drama', 'thriller', 'crime', 'history'];['EG'];tt0316472;68;2310;0
tm76557;No Longer Kids;MOVIE;1979;Unknown;235;['comedy', 'drama'];['EG'];tt8312792;90;9430;0
tm71909;Amrapali;MOVIE;1966;Unknown;120;['fantasy'];['IN'];tt0060104;67;2250;0
tm94651;Dostana;MOVIE;1980;Unknown;161;['drama', 'comedy', 'romance', 'action', 'crime'];['IN'];tt0080653;21;250;0
tm19608;The Blazing Sun;MOVIE;1954;Unknown;100;['romance', 'crime', 'drama'];['EG'];tt0044429;74;12190;0
ts45948;Monty Python's Fliegender Zirkus;SHOW;1972;TV-MA;43;['comedy'];[];tt0202477;81;21440;10
tm90896;The Return of the Prodigal Son;MOVIE;1976;Unknown;124;['drama', 'crime'];['DZ', 'EG'];tt0074168;72;7680;0
tm75975;Prince;MOVIE;1969;Unknown;152;['romance'];['IN'];tt0064842;69;1680;0
tm97793;Lock Your Girls In;MOVIE;1980;Unknown;230;['comedy'];['EG'];;;;0
tm85426;The Witness Who Didn't See Anything;MOVIE;1976;Unknown;217;['comedy'];['EG'];;;;0
tm188894;The School of Mischief;MOVIE;1973;Unknown;251;['comedy'];['EG'];;;;0
tm107372;Manoranjan;MOVIE;1974;Unknown;162;['comedy', 'drama', 'romance'];['IN'];tt0071811;65;2360;0
tm200475;Beirut, Oh Beirut;MOVIE;1975;Unknown;110;['drama'];['LB'];tt0169599;65;1060;0
tm259855;We Are All for the Fatherland;MOVIE;1979;Unknown;74;['documentation'];['FR', 'LB', 'CA'];tt0170799;62;430;0
tm259684;Whispers;MOVIE;1980;Unknown;93;['documentation'];['FR', 'LB', 'CA'];tt0170803;78;750;0
tm344089;Lal Patthar;MOVIE;1971;Unknown;153;['drama'];['IN'];tt0237395;62;1370;0
tm358653;Ujala;MOVIE;1959;Unknown;142;['romance', 'crime', 'drama'];['IN'];tt0157132;67;780;0
tm100027;Alibaba Aur 40 Chor;MOVIE;1979;Unknown;138;['drama', 'action', 'romance', 'family', 'fantasy'];['IN', 'SU'];tt0079749;62;5550;0
tm10204;Professor;MOVIE;1962;Unknown;163;['romance', 'comedy', 'drama'];['IN'];tt0056379;68;2850;0
tm403346;Chadi Jawani Budhe Nu;MOVIE;1976;Unknown;135;['romance'];['IN'];tt3290368;46;140;0
tm16812;Bandie;MOVIE;1978;Unknown;141;['drama', 'romance', 'action'];['IN'];tt1219315;42;350;0
tm336403;Khoon Khoon;MOVIE;1973;Unknown;131;['drama', 'crime', 'thriller'];['IN'];tt0230412;51;410;0
tm119776;Top Gun;MOVIE;1986;PG;110;['drama', 'action'];['US'];tt0092099;69;3296560;0
ts20681;Seinfeld;SHOW;1989;TV-PG;24;['comedy'];['US'];tt0098904;89;3027000;90
tm111075;Stand by Me;MOVIE;1986;R;89;['drama'];['US'];tt0092005;81;3927900;0
tm180542;Once Upon a Time in America;MOVIE;1984;R;229;['drama', 'crime', 'european'];['US', 'IT'];tt0087843;83;3423350;0
tm138875;When Harry Met Sally...;MOVIE;1989;R;96;['romance', 'comedy', 'drama'];['US'];tt0098635;77;2129130;0
tm155792;Teenage Mutant Ninja Turtles;MOVIE;1990;PG;93;['scifi', 'action', 'comedy', 'family'];['HK', 'US'];tt0100758;67;926470;0
tm22327;Full Metal Jacket;MOVIE;1987;R;116;['drama', 'war'];['GB', 'US'];tt0093058;83;7233060;0
tm54450;Christine;MOVIE;1983;R;90;['horror', 'thriller', 'european'];['US'];tt0085333;67;809450;0
tm2386;A Nightmare on Elm Street;MOVIE;1984;R;91;['horror'];['US'];tt0087800;74;2305430;0
